id,firstName,lastName
1,Sarah,Koh
2,Grace,Wong
3,Grace,Tan
4,John,Lim
5,Daniel,Chong
6,Marcus,Chan
7,Ryan,Lee
8,Rachel,Goh
9,Johnny,Wong
10,Mary,Lee
11,Daniel,Low
12,Sarah,Low
13,John,Wong
14,Ryan,Yeo
15,John,Smith
16,Grace,Goh
17,Ryan,Chua
18,Nicole,Tan
19,David,Goh
20,Rachel,Foo
21,Nicole,Teo
22,Marcus,Koh
23,Nicole,Ng
24,Michelle,Low
25,Alice,Foo
26,Peter,Goh
27,Peter,Lee
28,Johnny,Poh
29,Michelle,Sim
30,Peter,Chong
31,Nicole,Ong
32,Rachel,Wong
33,Aaron,Wong
34,Peter,Poh
35,Mary,Goh
36,Grace,Chan
37,Mary,Poh
38,John,Goh
39,Alice,Smith
40,Kevin,Low
41,Sarah,Chua
42,John,Chan
43,Marcus,Ng
44,John,Goh
45,Kevin,Chan
46,Kevin,Koh
47,David,Poh
48,Ryan,Lee
49,Emily,Chan
50,Grace,Chan
